Geslacht,Bedrijfstakken/branches (SBI 2008),Perioden,Onderwerp,Type werkenden,Waarde
Mannen,"A Landbouw, bosbouw en visserij",2017,Werkzame personen,Werknemers,68.0
Mannen,"A Landbouw, bosbouw en visserij",2017,Werkzame personen,Zelfstandigen,67.0
Mannen,"A Landbouw, bosbouw en visserij",2017,Banen,Werknemers,75.0
Mannen,"A Landbouw, bosbouw en visserij",2017,Banen,Zelfstandigen,92.0
Mannen,"A Landbouw, bosbouw en visserij",2017,Arbeidsjaren,Werknemers,56.0
Mannen,"A Landbouw, bosbouw en visserij",2017,Arbeidsjaren,Zelfstandigen,66.0
Mannen,"A Landbouw, bosbouw en visserij",2017,Gewerkte uren,Werknemers,104.0
Mannen,,2017,Gewerkte uren,Zelfstandigen,
Mannen,"A Landbouw, bosbouw en visserij",2018,Werkzame personen,Werknemers,69.0
Mannen,"A Landbouw, bosbouw en visserij",2018,Werkzame personen,Zelfstandigen,66.0
Mannen,"A Landbouw, bosbouw en visserij",2018,Banen,Werknemers,76.0
Mannen,"A Landbouw, bosbouw en visserij",2018,Banen,Zelfstandigen,92.0
Mannen,"A Landbouw, bosbouw en visserij",2018,Arbeidsjaren,Werknemers,58.0
Mannen,"A Landbouw, bosbouw en visserij",2018,Arbeidsjaren,Zelfstandigen,66.0
Mannen,,2018,Gewerkte uren,Werknemers,107.0
Mannen,"A Landbouw, bosbouw en visserij",2018,Gewerkte uren,Zelfstandigen,185.0
Mannen,B Delfstoffenwinning,2013,Werkzame personen,Werknemers,8.0
Mannen,B Delfstoffenwinning,2013,Werkzame personen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2013,Banen,Werknemers,8.0
Mannen,B Delfstoffenwinning,2013,Banen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2013,Arbeidsjaren,Werknemers,8.0
Mannen,B Delfstoffenwinning,2013,Arbeidsjaren,Zelfstandigen,
Mannen,B Delfstoffenwinning,2013,Gewerkte uren,Werknemers,16.0
Mannen,B Delfstoffenwinning,2013,Gewerkte uren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2014,Werkzame personen,Werknemers,9.0
Mannen,,2014,Werkzame personen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2014,Banen,Werknemers,9.0
Mannen,B Delfstoffenwinning,2014,Banen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2014,Arbeidsjaren,Werknemers,9.0
Mannen,B Delfstoffenwinning,2014,Arbeidsjaren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2014,Gewerkte uren,Werknemers,17.0
Mannen,B Delfstoffenwinning,2014,Gewerkte uren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2015,Werkzame personen,Werknemers,9.0
Mannen,B Delfstoffenwinning,2015,Werkzame personen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2015,Banen,Werknemers,9.0
Mannen,B Delfstoffenwinning,2015,Banen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2015,Arbeidsjaren,Werknemers,9.0
Mannen,B Delfstoffenwinning,2015,Arbeidsjaren,Zelfstandigen,0.0
Mannen,,2015,Gewerkte uren,Werknemers,17.0
Mannen,B Delfstoffenwinning,2015,Gewerkte uren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2016,Werkzame personen,Werknemers,8.0
Mannen,B Delfstoffenwinning,2016,Werkzame personen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2016,Banen,Werknemers,9.0
Mannen,B Delfstoffenwinning,2016,Banen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2016,Arbeidsjaren,Werknemers,8.0
Mannen,B Delfstoffenwinning,2016,Arbeidsjaren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2016,Gewerkte uren,Werknemers,16.0
Mannen,B Delfstoffenwinning,2016,Gewerkte uren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2017,Werkzame personen,Werknemers,7.0
Mannen,B Delfstoffenwinning,2017,Werkzame personen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2017,Banen,Werknemers,7.0
Mannen,,2017,Banen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2017,Arbeidsjaren,Werknemers,7.0
Mannen,B Delfstoffenwinning,2017,Arbeidsjaren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2017,Gewerkte uren,Werknemers,14.0
Mannen,B Delfstoffenwinning,2017,Gewerkte uren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2018,Werkzame personen,Werknemers,7.0
Mannen,B Delfstoffenwinning,2018,Werkzame personen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2018,Banen,Werknemers,7.0
Mannen,B Delfstoffenwinning,2018,Banen,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2018,Arbeidsjaren,Werknemers,7.0
Mannen,B Delfstoffenwinning,2018,Arbeidsjaren,Zelfstandigen,0.0
Mannen,B Delfstoffenwinning,2018,Gewerkte uren,Werknemers,13.0
Mannen,B Delfstoffenwinning,2018,Gewerkte uren,Zelfstandigen,0.0
Mannen,C Industrie,2013,Werkzame personen,Werknemers,
Mannen,C Industrie,2013,Werkzame personen,Zelfstandigen,30.0
Mannen,C Industrie,2013,Banen,Werknemers,574.0
Mannen,C Industrie,2013,Banen,Zelfstandigen,40.0
Mannen,C Industrie,2013,Arbeidsjaren,Werknemers,542.0
Mannen,C Industrie,2013,Arbeidsjaren,Zelfstandigen,31.0
Mannen,C Industrie,2013,Gewerkte uren,Werknemers,965.0
Mannen,C Industrie,2013,Gewerkte uren,Zelfstandigen,70.0
Mannen,C Industrie,2014,Werkzame personen,Werknemers,562.0
Mannen,C Industrie,2014,Werkzame personen,Zelfstandigen,31.0
Mannen,C Industrie,2014,Banen,Werknemers,569.0
Mannen,C Industrie,2014,Banen,Zelfstandigen,41.0
Mannen,,2014,Arbeidsjaren,Werknemers,536.0
Mannen,C Industrie,2014,Arbeidsjaren,Zelfstandigen,32.0
Mannen,C Industrie,2014,Gewerkte uren,Werknemers,963.0
Mannen,C Industrie,2014,Gewerkte uren,Zelfstandigen,71.0
Mannen,C Industrie,2015,Werkzame personen,Werknemers,562.0
Mannen,C Industrie,2015,Werkzame personen,Zelfstandigen,31.0
Mannen,C Industrie,2015,Banen,Werknemers,569.0
Mannen,C Industrie,2015,Banen,Zelfstandigen,41.0
Mannen,C Industrie,2015,Arbeidsjaren,Werknemers,537.0
Mannen,C Industrie,2015,Arbeidsjaren,Zelfstandigen,33.0
Mannen,C Industrie,2015,Gewerkte uren,Werknemers,956.0
Mannen,C Industrie,2015,Gewerkte uren,Zelfstandigen,72.0
Mannen,C Industrie,2016,Werkzame personen,Werknemers,563.0
Mannen,C Industrie,2016,Werkzame personen,Zelfstandigen,32.0
Mannen,C Industrie,2016,Banen,Werknemers,571.0
Mannen,C Industrie,2016,Banen,Zelfstandigen,42.0
Mannen,C Industrie,2016,Arbeidsjaren,Werknemers,538.0
Mannen,C Industrie,2016,Arbeidsjaren,Zelfstandigen,34.0
Mannen,C Industrie,2016,Gewerkte uren,Werknemers,959.0
Mannen,C Industrie,2016,Gewerkte uren,Zelfstandigen,77.0
Mannen,C Industrie,2017,Werkzame personen,Werknemers,567.0
Mannen,C Industrie,2017,Werkzame personen,Zelfstandigen,32.0
Mannen,C Industrie,2017,Banen,Werknemers,575.0
Mannen,C Industrie,2017,Banen,Zelfstandigen,43.0
Mannen,C Industrie,2017,Arbeidsjaren,Werknemers,543.0
Mannen,C Industrie,2017,Arbeidsjaren,Zelfstandigen,34.0
Mannen,C Industrie,2017,Gewerkte uren,Werknemers,960.0
Mannen,C Industrie,2017,Gewerkte uren,Zelfstandigen,79.0
Mannen,C Industrie,2018,Werkzame personen,Werknemers,578.0
Mannen,C Industrie,2018,Werkzame personen,Zelfstandigen,33.0
Mannen,,2018,Banen,Werknemers,586.0
Mannen,C Industrie,2018,Banen,Zelfstandigen,44.0
Mannen,C Industrie,2018,Arbeidsjaren,Werknemers,553.0
Mannen,C Industrie,2018,Arbeidsjaren,Zelfstandigen,34.0
Mannen,C Industrie,2018,Gewerkte uren,Werknemers,
Mannen,C Industrie,2018,Gewerkte uren,Zelfstandigen,77.0
Mannen,,2013,Werkzame personen,Werknemers,20.0
Mannen,D Energievoorziening,2013,Werkzame personen,Zelfstandigen,0.0
Mannen,D Energievoorziening,2013,Banen,Werknemers,20.0
Mannen,D Energievoorziening,2013,Banen,Zelfstandigen,1.0
Mannen,D Energievoorziening,2013,Arbeidsjaren,Werknemers,20.0
Mannen,D Energievoorziening,2013,Arbeidsjaren,Zelfstandigen,0.0
Mannen,D Energievoorziening,2013,Gewerkte uren,Werknemers,34.0
Mannen,D Energievoorziening,2013,Gewerkte uren,Zelfstandigen,0.0
Mannen,D Energievoorziening,2014,Werkzame personen,Werknemers,20.0
Mannen,D Energievoorziening,2014,Werkzame personen,Zelfstandigen,1.0
Mannen,D Energievoorziening,2014,Banen,Werknemers,20.0
Mannen,D Energievoorziening,2014,Banen,Zelfstandigen,1.0
Mannen,D Energievoorziening,2014,Arbeidsjaren,Werknemers,19.0
Mannen,D Energievoorziening,2014,Arbeidsjaren,Zelfstandigen,0.0
Mannen,D Energievoorziening,2014,Gewerkte uren,Werknemers,34.0
Mannen,D Energievoorziening,2014,Gewerkte uren,Zelfstandigen,1.0
Mannen,D Energievoorziening,2015,Werkzame personen,Werknemers,20.0
Mannen,D Energievoorziening,2015,Werkzame personen,Zelfstandigen,0.0
Mannen,D Energievoorziening,2015,Banen,Werknemers,20.0
Mannen,,2015,Banen,Zelfstandigen,1.0
Mannen,D Energievoorziening,2015,Arbeidsjaren,Werknemers,19.0
Mannen,D Energievoorziening,2015,Arbeidsjaren,Zelfstandigen,0.0
Mannen,D Energievoorziening,2015,Gewerkte uren,Werknemers,34.0
Mannen,D Energievoorziening,2015,Gewerkte uren,Zelfstandigen,1.0
Mannen,D Energievoorziening,2016,Werkzame personen,Werknemers,20.0
Mannen,D Energievoorziening,2016,Werkzame personen,Zelfstandigen,0.0
Mannen,D Energievoorziening,2016,Banen,Werknemers,20.0
Mannen,D Energievoorziening,2016,Banen,Zelfstandigen,1.0
Mannen,D Energievoorziening,2016,Arbeidsjaren,Werknemers,19.0
Mannen,D Energievoorziening,2016,Arbeidsjaren,Zelfstandigen,0.0
Mannen,D Energievoorziening,2016,Gewerkte uren,Werknemers,33.0
Mannen,D Energievoorziening,2016,Gewerkte uren,Zelfstandigen,1.0
Mannen,D Energievoorziening,2017,Werkzame personen,Werknemers,
Mannen,D Energievoorziening,2017,Werkzame personen,Zelfstandigen,0.0
Mannen,D Energievoorziening,2017,Banen,Werknemers,20.0
Mannen,D Energievoorziening,2017,Banen,Zelfstandigen,1.0
Mannen,D Energievoorziening,2017,Arbeidsjaren,Werknemers,19.0
Mannen,D Energievoorziening,2017,Arbeidsjaren,Zelfstandigen,0.0
Mannen,D Energievoorziening,2017,Gewerkte uren,Werknemers,35.0
Mannen,D Energievoorziening,2017,Gewerkte uren,Zelfstandigen,1.0
Mannen,D Energievoorziening,2018,Werkzame personen,Werknemers,20.0
Mannen,D Energievoorziening,2018,Werkzame personen,Zelfstandigen,0.0
Mannen,D Energievoorziening,2018,Banen,Werknemers,20.0
Mannen,D Energievoorziening,2018,Banen,Zelfstandigen,1.0
Mannen,D Energievoorziening,2018,Arbeidsjaren,Werknemers,20.0
Mannen,D Energievoorziening,2018,Arbeidsjaren,Zelfstandigen,0.0
Mannen,D Energievoorziening,2018,Gewerkte uren,Werknemers,36.0
Mannen,D Energievoorziening,2018,Gewerkte uren,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2013,Werkzame personen,Werknemers,26.0
Mannen,E Waterbedrijven en afvalbeheer,2013,Werkzame personen,Zelfstandigen,0.0
Mannen,E Waterbedrijven en afvalbeheer,2013,Banen,Werknemers,27.0
Mannen,E Waterbedrijven en afvalbeheer,2013,Banen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2013,Arbeidsjaren,Werknemers,26.0
Mannen,E Waterbedrijven en afvalbeheer,2013,Arbeidsjaren,Zelfstandigen,0.0
Mannen,E Waterbedrijven en afvalbeheer,2013,Gewerkte uren,Werknemers,49.0
Mannen,E Waterbedrijven en afvalbeheer,2013,Gewerkte uren,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2014,Werkzame personen,Werknemers,26.0
Mannen,E Waterbedrijven en afvalbeheer,2014,Werkzame personen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2014,Banen,Werknemers,27.0
Mannen,E Waterbedrijven en afvalbeheer,2014,Banen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2014,Arbeidsjaren,Werknemers,26.0
Mannen,E Waterbedrijven en afvalbeheer,2014,Arbeidsjaren,Zelfstandigen,0.0
Mannen,E Waterbedrijven en afvalbeheer,2014,Gewerkte uren,Werknemers,50.0
Mannen,E Waterbedrijven en afvalbeheer,2014,Gewerkte uren,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2015,Werkzame personen,Werknemers,26.0
Mannen,E Waterbedrijven en afvalbeheer,2015,Werkzame personen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2015,Banen,Werknemers,27.0
Mannen,E Waterbedrijven en afvalbeheer,2015,Banen,Zelfstandigen,
Mannen,E Waterbedrijven en afvalbeheer,2015,Arbeidsjaren,Werknemers,25.0
Mannen,,2015,Arbeidsjaren,Zelfstandigen,0.0
Mannen,E Waterbedrijven en afvalbeheer,2015,Gewerkte uren,Werknemers,49.0
Mannen,E Waterbedrijven en afvalbeheer,2015,Gewerkte uren,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2016,Werkzame personen,Werknemers,27.0
Mannen,E Waterbedrijven en afvalbeheer,2016,Werkzame personen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2016,Banen,Werknemers,27.0
Mannen,,2016,Banen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2016,Arbeidsjaren,Werknemers,26.0
Mannen,E Waterbedrijven en afvalbeheer,2016,Arbeidsjaren,Zelfstandigen,0.0
Mannen,,2016,Gewerkte uren,Werknemers,49.0
Mannen,E Waterbedrijven en afvalbeheer,2016,Gewerkte uren,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2017,Werkzame personen,Werknemers,
Mannen,E Waterbedrijven en afvalbeheer,2017,Werkzame personen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2017,Banen,Werknemers,28.0
Mannen,E Waterbedrijven en afvalbeheer,2017,Banen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2017,Arbeidsjaren,Werknemers,
Mannen,E Waterbedrijven en afvalbeheer,2017,Arbeidsjaren,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2017,Gewerkte uren,Werknemers,51.0
Mannen,E Waterbedrijven en afvalbeheer,2017,Gewerkte uren,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2018,Werkzame personen,Werknemers,28.0
Mannen,E Waterbedrijven en afvalbeheer,2018,Werkzame personen,Zelfstandigen,1.0
Mannen,,2018,Banen,Werknemers,29.0
Mannen,E Waterbedrijven en afvalbeheer,2018,Banen,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2018,Arbeidsjaren,Werknemers,28.0
Mannen,E Waterbedrijven en afvalbeheer,2018,Arbeidsjaren,Zelfstandigen,1.0
Mannen,E Waterbedrijven en afvalbeheer,2018,Gewerkte uren,Werknemers,53.0
Mannen,E Waterbedrijven en afvalbeheer,2018,Gewerkte uren,Zelfstandigen,1.0
Mannen,F Bouwnijverheid,2013,Werkzame personen,Werknemers,282.0
Mannen,F Bouwnijverheid,2013,Werkzame personen,Zelfstandigen,137.0
Mannen,F Bouwnijverheid,2013,Banen,Werknemers,286.0
Mannen,F Bouwnijverheid,2013,Banen,Zelfstandigen,168.0
Mannen,F Bouwnijverheid,2013,Arbeidsjaren,Werknemers,270.0
Mannen,F Bouwnijverheid,2013,Arbeidsjaren,Zelfstandigen,139.0
Mannen,F Bouwnijverheid,2013,Gewerkte uren,Werknemers,485.0
Mannen,F Bouwnijverheid,2013,Gewerkte uren,Zelfstandigen,287.0
Mannen,F Bouwnijverheid,2014,Werkzame personen,Werknemers,265.0
Mannen,F Bouwnijverheid,2014,Werkzame personen,Zelfstandigen,142.0
Mannen,F Bouwnijverheid,2014,Banen,Werknemers,269.0
Mannen,F Bouwnijverheid,2014,Banen,Zelfstandigen,173.0
Mannen,F Bouwnijverheid,2014,Arbeidsjaren,Werknemers,254.0
Mannen,F Bouwnijverheid,2014,Arbeidsjaren,Zelfstandigen,145.0
Mannen,F Bouwnijverheid,2014,Gewerkte uren,Werknemers,466.0
Mannen,F Bouwnijverheid,2014,Gewerkte uren,Zelfstandigen,297.0
Mannen,F Bouwnijverheid,2015,Werkzame personen,Werknemers,260.0
Mannen,F Bouwnijverheid,2015,Werkzame personen,Zelfstandigen,144.0
Mannen,F Bouwnijverheid,2015,Banen,Werknemers,
Mannen,F Bouwnijverheid,2015,Banen,Zelfstandigen,179.0
Mannen,F Bouwnijverheid,2015,Arbeidsjaren,Werknemers,250.0
Mannen,F Bouwnijverheid,2015,Arbeidsjaren,Zelfstandigen,151.0
Mannen,F Bouwnijverheid,2015,Gewerkte uren,Werknemers,453.0
Mannen,F Bouwnijverheid,2015,Gewerkte uren,Zelfstandigen,316.0
Mannen,F Bouwnijverheid,2016,Werkzame personen,Werknemers,259.0
Mannen,,2016,Werkzame personen,Zelfstandigen,148.0
Mannen,F Bouwnijverheid,2016,Banen,Werknemers,262.0
Mannen,F Bouwnijverheid,2016,Banen,Zelfstandigen,184.0
Mannen,F Bouwnijverheid,2016,Arbeidsjaren,Werknemers,249.0
Mannen,F Bouwnijverheid,2016,Arbeidsjaren,Zelfstandigen,157.0
Mannen,F Bouwnijverheid,2016,Gewerkte uren,Werknemers,450.0
Mannen,F Bouwnijverheid,2016,Gewerkte uren,Zelfstandigen,335.0
Mannen,F Bouwnijverheid,2017,Werkzame personen,Werknemers,266.0
Mannen,F Bouwnijverheid,2017,Werkzame personen,Zelfstandigen,154.0
Mannen,F Bouwnijverheid,2017,Banen,Werknemers,
Mannen,F Bouwnijverheid,2017,Banen,Zelfstandigen,191.0
Mannen,F Bouwnijverheid,2017,Arbeidsjaren,Werknemers,257.0
Mannen,F Bouwnijverheid,2017,Arbeidsjaren,Zelfstandigen,164.0
Mannen,F Bouwnijverheid,2017,Gewerkte uren,Werknemers,465.0
Mannen,F Bouwnijverheid,2017,Gewerkte uren,Zelfstandigen,341.0
Mannen,F Bouwnijverheid,2018,Werkzame personen,Werknemers,274.0
Mannen,F Bouwnijverheid,2018,Werkzame personen,Zelfstandigen,165.0
Mannen,F Bouwnijverheid,2018,Banen,Werknemers,279.0
Mannen,F Bouwnijverheid,2018,Banen,Zelfstandigen,205.0
Mannen,F Bouwnijverheid,2018,Arbeidsjaren,Werknemers,265.0
Mannen,F Bouwnijverheid,2018,Arbeidsjaren,Zelfstandigen,175.0
Mannen,F Bouwnijverheid,2018,Gewerkte uren,Werknemers,479.0
Mannen,F Bouwnijverheid,2018,Gewerkte uren,Zelfstandigen,367.0
Mannen,G Handel,2013,Werkzame personen,Werknemers,658.0
Mannen,G Handel,2013,Werkzame personen,Zelfstandigen,105.0
Mannen,G Handel,2013,Banen,Werknemers,679.0
Mannen,G Handel,2013,Banen,Zelfstandigen,140.0
Mannen,G Handel,2013,Arbeidsjaren,Werknemers,530.0
Mannen,G Handel,2013,Arbeidsjaren,Zelfstandigen,105.0
Mannen,G Handel,2013,Gewerkte uren,Werknemers,
Mannen,G Handel,2013,Gewerkte uren,Zelfstandigen,249.0
Mannen,G Handel,2014,Werkzame personen,Werknemers,656.0
Mannen,G Handel,2014,Werkzame personen,Zelfstandigen,107.0
Mannen,G Handel,2014,Banen,Werknemers,676.0
Mannen,G Handel,2014,Banen,Zelfstandigen,144.0
Mannen,G Handel,2014,Arbeidsjaren,Werknemers,523.0
Mannen,G Handel,2014,Arbeidsjaren,Zelfstandigen,107.0
Mannen,G Handel,2014,Gewerkte uren,Werknemers,944.0
Mannen,G Handel,2014,Gewerkte uren,Zelfstandigen,256.0
Mannen,G Handel,2015,Werkzame personen,Werknemers,665.0
Mannen,G Handel,2015,Werkzame personen,Zelfstandigen,107.0
Mannen,G Handel,2015,Banen,Werknemers,687.0
Mannen,G Handel,2015,Banen,Zelfstandigen,146.0
Mannen,G Handel,2015,Arbeidsjaren,Werknemers,
Mannen,G Handel,2015,Arbeidsjaren,Zelfstandigen,110.0
Mannen,G Handel,2015,Gewerkte uren,Werknemers,950.0
Mannen,G Handel,2015,Gewerkte uren,Zelfstandigen,265.0
Mannen,G Handel,2016,Werkzame personen,Werknemers,677.0
Mannen,G Handel,2016,Werkzame personen,Zelfstandigen,107.0
Mannen,G Handel,2016,Banen,Werknemers,700.0
Mannen,G Handel,2016,Banen,Zelfstandigen,147.0
Mannen,G Handel,2016,Arbeidsjaren,Werknemers,542.0
Mannen,G Handel,2016,Arbeidsjaren,Zelfstandigen,111.0
Mannen,G Handel,2016,Gewerkte uren,Werknemers,977.0
Mannen,G Handel,2016,Gewerkte uren,Zelfstandigen,260.0
Mannen,G Handel,2017,Werkzame personen,Werknemers,693.0
Mannen,G Handel,2017,Werkzame personen,Zelfstandigen,105.0
Mannen,G Handel,2017,Banen,Werknemers,717.0
Mannen,G Handel,2017,Banen,Zelfstandigen,
Mannen,G Handel,2017,Arbeidsjaren,Werknemers,558.0
Mannen,G Handel,2017,Arbeidsjaren,Zelfstandigen,108.0
Mannen,G Handel,2017,Gewerkte uren,Werknemers,994.0
Mannen,G Handel,2017,Gewerkte uren,Zelfstandigen,259.0
Mannen,G Handel,2018,Werkzame personen,Werknemers,
Mannen,G Handel,2018,Werkzame personen,Zelfstandigen,104.0
Mannen,G Handel,2018,Banen,Werknemers,735.0
Mannen,G Handel,2018,Banen,Zelfstandigen,144.0
Mannen,G Handel,2018,Arbeidsjaren,Werknemers,572.0
Mannen,G Handel,2018,Arbeidsjaren,Zelfstandigen,106.0
Mannen,G Handel,2018,Gewerkte uren,Werknemers,1016.0
Mannen,G Handel,2018,Gewerkte uren,Zelfstandigen,253.0
Mannen,H Vervoer en opslag,2013,Werkzame personen,Werknemers,270.0
Mannen,H Vervoer en opslag,2013,Werkzame personen,Zelfstandigen,
Mannen,H Vervoer en opslag,2013,Banen,Werknemers,281.0
Mannen,H Vervoer en opslag,2013,Banen,Zelfstandigen,33.0
Mannen,H Vervoer en opslag,2013,Arbeidsjaren,Werknemers,238.0
Mannen,H Vervoer en opslag,2013,Arbeidsjaren,Zelfstandigen,24.0
Mannen,H Vervoer en opslag,2013,Gewerkte uren,Werknemers,457.0
Mannen,H Vervoer en opslag,2013,Gewerkte uren,Zelfstandigen,56.0
Mannen,,2014,Werkzame personen,Werknemers,265.0
Mannen,H Vervoer en opslag,2014,Werkzame personen,Zelfstandigen,27.0
Mannen,H Vervoer en opslag,2014,Banen,Werknemers,276.0
Mannen,H Vervoer en opslag,2014,Banen,Zelfstandigen,35.0
Mannen,H Vervoer en opslag,2014,Arbeidsjaren,Werknemers,234.0
Mannen,H Vervoer en opslag,2014,Arbeidsjaren,Zelfstandigen,25.0
Mannen,H Vervoer en opslag,2014,Gewerkte uren,Werknemers,452.0
Mannen,H Vervoer en opslag,2014,Gewerkte uren,Zelfstandigen,61.0
Mannen,H Vervoer en opslag,2015,Werkzame personen,Werknemers,263.0
Mannen,H Vervoer en opslag,2015,Werkzame personen,Zelfstandigen,27.0
Mannen,H Vervoer en opslag,2015,Banen,Werknemers,275.0
Mannen,H Vervoer en opslag,2015,Banen,Zelfstandigen,36.0
Mannen,,2015,Arbeidsjaren,Werknemers,234.0
Mannen,H Vervoer en opslag,2015,Arbeidsjaren,Zelfstandigen,28.0
Mannen,H Vervoer en opslag,2015,Gewerkte uren,Werknemers,450.0
Mannen,H Vervoer en opslag,2015,Gewerkte uren,Zelfstandigen,67.0
Mannen,H Vervoer en opslag,2016,Werkzame personen,Werknemers,265.0
Mannen,H Vervoer en opslag,2016,Werkzame personen,Zelfstandigen,28.0
Mannen,H Vervoer en opslag,2016,Banen,Werknemers,277.0
Mannen,H Vervoer en opslag,2016,Banen,Zelfstandigen,39.0
Mannen,H Vervoer en opslag,2016,Arbeidsjaren,Werknemers,239.0
Mannen,H Vervoer en opslag,2016,Arbeidsjaren,Zelfstandigen,28.0
Mannen,H Vervoer en opslag,2016,Gewerkte uren,Werknemers,462.0
Mannen,H Vervoer en opslag,2016,Gewerkte uren,Zelfstandigen,69.0
Mannen,,2017,Werkzame personen,Werknemers,269.0
